Year,Week,SKU,Category,Size,Total_Qty,Total_Amount,Avg_Price,Max_Price,Min_Price,Std_Price,Has_Promotion,Transaction_Count,Start_Date,End_Date,Week_ID,Date
2022,13,J0122-TP-XXXL,Top,3XL,2,660.0,330.0,330.0,330.0,0.0,0,2,2022-04-02,2022-04-03,2022-W13,2022-04-02
2022,13,J0123-TP-XL,Top,XL,1,267.0,267.0,267.0,267.0,0.0,1,1,2022-04-03,2022-04-03,2022-W13,2022-04-03
2022,13,J0123-TP-XXL,Top,XXL,1,267.0,267.0,267.0,267.0,0.0,0,1,2022-04-02,2022-04-02,2022-W13,2022-04-02
2022,13,J0124-TP-XL,Top,XL,3,1407.0,469.0,469.0,469.0,0.0,0,3,2022-04-01,2022-04-03,2022-W13,2022-04-01
2022,13,J0124-TP-XXL,Top,XXL,1,469.0,469.0,469.0,469.0,0.0,0,1,2022-04-03,2022-04-03,2022-W13,2022-04-03
2022,13,J0126-SKD-M,Set,M,1,849.0,849.0,849.0,849.0,0.0,1,1,2022-03-31,2022-03-31,2022-W13,2022-03-31
2022,13,J0126-SKD-XXXL,Set,3XL,1,849.0,849.0,849.0,849.0,0.0,1,1,2022-04-02,2022-04-02,2022-W13,2022-04-02
2022,13,J0127-SKD-XS,Set,XS,4,4796.0,1199.0,1199.0,1199.0,0.0,1,4,2022-03-31,2022-04-03,2022-W13,2022-03-31
2022,13,J0129-SET-S,Set,S,2,1452.0,726.0,726.0,726.0,0.0,1,2,2022-04-01,2022-04-02,2022-W13,2022-04-01
2022,13,J0131-KR-S,kurta,S,1,342.0,342.0,342.0,342.0,0.0,1,1,2022-04-01,2022-04-01,2022-W13,2022-04-01
2022,13,J0131-KR-XL,kurta,XL,1,342.0,342.0,342.0,342.0,0.0,1,1,2022-04-03,2022-04-03,2022-W13,2022-04-03
2022,13,J0132-KR-L,kurta,L,2,716.0,358.0,358.0,358.0,0.0,0,2,2022-03-31,2022-04-01,2022-W13,2022-03-31
2022,13,J0132-KR-XS,kurta,XS,1,358.0,358.0,358.0,358.0,0.0,1,1,2022-04-02,2022-04-02,2022-W13,2022-04-02
2022,13,J0132-KR-XXXL,kurta,3XL,4,1432.0,358.0,358.0,358.0,0.0,1,4,2022-04-01,2022-04-03,2022-W13,2022-04-01
2022,13,J0133-KR-XXL,kurta,XXL,1,377.0,377.0,377.0,377.0,0.0,1,1,2022-04-02,2022-04-02,2022-W13,2022-04-02
2022,13,J0133-KR-XXXL,kurta,3XL,1,377.0,377.0,377.0,377.0,0.0,0,1,2022-04-03,2022-04-03,2022-W13,2022-04-03
2022,13,J0134-SET-M,Set,M,1,693.0,693.0,693.0,693.0,0.0,1,1,2022-04-02,2022-04-02,2022-W13,2022-04-02
2022,13,J0134-SET-XXXL,Set,3XL,2,1386.0,693.0,693.0,693.0,0.0,1,2,2022-04-01,2022-04-03,2022-W13,2022-04-01
2022,13,J0136-KR-S,kurta,S,1,499.0,499.0,499.0,499.0,0.0,1,1,2022-04-01,2022-04-01,2022-W13,2022-04-01
2022,13,J0137-SET-XS,Set,XS,1,841.0,841.0,841.0,841.0,0.0,1,1,2022-04-03,2022-04-03,2022-W13,2022-04-03
2022,13,J0137-SET-XXL,Set,XXL,1,841.0,841.0,841.0,841.0,0.0,1,1,2022-04-01,2022-04-01,2022-W13,2022-04-01
2022,13,J0139-KR-M,kurta,M,1,396.0,396.0,396.0,396.0,0.0,1,1,2022-04-01,2022-04-01,2022-W13,2022-04-01
2022,13,J0139-KR-XL,kurta,XL,1,396.0,396.0,396.0,396.0,0.0,0,1,2022-04-03,2022-04-03,2022-W13,2022-04-03
2022,13,J0139-KR-XXXL,kurta,3XL,2,792.0,396.0,396.0,396.0,0.0,0,2,2022-04-03,2022-04-03,2022-W13,2022-04-03
